activity,address,mail,name,phone,website
MARITIME TRANSPORT, BLD BAZEILLE ANTSIRANANA   ,rotrimex@yahoo.fr,ROTRIMEX,(+261) 208 22 28 75 (+261) 208 22 28 75,
MARITIME TRANSPORT, BP. 4169 ANTANANARIVO    ,mdgscisal@africa.safmarine.com,SAFMARINE,(+261) 202 25 38 26 (+261) 202 25 36 29,
MARITIME TRANSPORT, BP. 12072 ANTANANARIVO   ,samm_ar@moov.mg,SAMM,(+261) 202 25 51 51 (+261) 202 25 51 51,www.safmarine.com    
MARITIME TRANSPORT, BP. 514 ANTANANARIVO    ,shipping.tana@sdv.mg,SDV MADAGASCAR,(+261) 202 24 69 18 (+261) 202 24 66 98,
MARITIME TRANSPORT, BP. 384 ANTSIRANANA    ,sdvdiego@sdv.mg,SDV MADAGASCAR,(+261) 208 22 13 27 (+261) 208 22 15 49,
MARITIME TRANSPORT, BP. 256 MAHAJANGA    ,sdvmajunga@sdv.mg,SDV MADAGASCAR,(+261) 206 22 20 08 (+261) 206 22 93 80,www.bollore-africa-logistics.com    
MARITIME TRANSPORT, BP. 411 TOAMASINA    ,commercial.tana@mg.dti.bolore.com,SDV MADAGASCAR,(+261) 205 33 20 48 (+261) 205 33 10 18,
MARITIME TRANSPORT, BP. 492 TOAMASINA   ,sept@moov.mg,SEPT,(+261) 205 33 21 55 (+261) 205 33 35 58,www.bollore-africa-logistics.com    
MARITIME TRANSPORT," 24, RUE REFOTAKA ANTANANARIVO   ",,SERVICES MARITIMES DE L'OCEAN INDIEN,(+261) 202 22 15 82 (+261) 202 22 15 82,
MARITIME TRANSPORT, RUE LUMUMBA ANTANANARIVO   ,,SIPM,(+261) 202 23 02 60 (+261) 202 23 02 60,www.bollore-africa-logistics.com    
PROJECTS & OFFICES OF SUPPORT, LOT IVF 22 AMBODIHADY ANTANANARIVO    ,mada@greenmail.net,GREEN MADA DEVELOPMENT,(+261) 34 68 774 45,
PROJECTS & OFFICES OF SUPPORT, HAUTE VILLE ANTANANARIVO    ,eventsdesignerder@gmail.com,INOTHER SARLU,(+261) 34 10 733 05,www.apimadagascar.wordpress.com    
PROJECTS & OFFICES OF SUPPORT, BP. 3876 ANTANANARIVO   ,bppa@moov.mg,PROJET BPPAR,(+261) 202 36 97 50 (+261) 202 26 45 38,
PROJECTS & OFFICES OF SUPPORT, AMPEFILOHA ANTANANARIVO   ,cape@netclub.mg,PROJET CAPE,(+261) 202 25 51 29 (+261) 202 25 42 38,www.inother.mg    
PROJECTS & OFFICES OF SUPPORT, BP. 1015 FINARANTSOA   ,,PROJET CAPE,(+261) 207 55 02 45 (+261) 207 55 02 45,
PROJECTS & OFFICES OF SUPPORT, BP. 52 MAHAJANGA   ,cciaa.mjn@moov.mg,PROJET CAPE,(+261) 206 22 21 61 (+261) 206 22 33 70,
PROJECTS & OFFICES OF SUPPORT, BP. 550 TOAMASINA   ,,PROJET CAPE,(+261) 205 33 23 10 (+261) 205 33 41 14,
PROJECTS & OFFICES OF SUPPORT, BP. 3873 ANTANANARIVO   ,nutricom@moov.mg,PROJET NUTRITION COMMUNAUTAIRE,(+261) 202 22 41 09 (+261) 202 22 41 12,
PROJECTS & OFFICES OF SUPPORT, BP. 6061 ANTANANARIVO   ,seecdrtana@simicro.mg,PROJET SEECALINE,(+261) 202 26 52 84 (+261) 202 26 43 51,
PROJECTS & OFFICES OF SUPPORT, BP. 337 ANTSIRANANA   ,seecants@moov.mg,PROJET SEECALINE,(+261) 208 22 13 32 (+261) 208 22 13 32,
GUARDING & SECURITY, TANAMAKOA TOAMASINA   ,,GPS,(+261) 205 33 18 16 (+261) 205 33 07 18,
GUARDING & SECURITY, ... ANTSIRABE   ,gpss.adms@yahoo.fr,GPSS SECURITY,(+261) 34 19 882 75,
GUARDING & SECURITY, AMPANDRANA OUEST ANTANANARIVO   ,jps@simicro.mg,JPS,(+261) 202 23 22 33,
GUARDING & SECURITY, LOT VA 2 LBIS AMPASANIMALO ANTANANARIVO 101   ,lareleve07@yahoo.com,LA RELEVE SECURITE,(+261) 34 09 382 87,
GUARDING & SECURITY, BP. 12141 ANTANANARIVO   ,sales@track-server.com,M TRACK,(+261) 202 42 64 23 (+261) 202 26 55 35,
GUARDING & SECURITY, ANKORONDRANO ANTANANARIVO   ,madavigile@yahoo.fr,MADA VIGILE,(+261) 20 22 24 270 55,
GUARDING & SECURITY, LOT 34 AI AMBODIRANO IVATO FIRAISANA ANTANANARIVO   ,mamultiservices@blueline.mg,MADAGASCAR MULTI SERVICES CORPORATE,(+261) 34 09 520 26 (+261) 20 24 539 72,
LEGAL & FISCAL OFFICES, LOT 147 CITE VALPINSON TOAMASINA   ,eaconsulting@orange.mg,E.A. CONSULTING,(+261) 20 53 923 10,
LEGAL & FISCAL OFFICES, FORT DAUPHIN MAJUNGA   ,eticprod@gmail.com,ETIC PROD CONSULTING,(+261) 32 11 707 47,
LEGAL & FISCAL OFFICES, LOT 144 BIS FM AMBOHIBAO MORONDAVA ANTEHIROKA ANTANANARIVO    ,madajuridika@gmail.com,MADA JURIDIKA CONSULTING,(+261) 34 69 326 00,
LEGAL & FISCAL OFFICES," 1ER ETAGE, LOT II N 25 ROUTE CIRCULAIRE ANTANANARIVO   ",maitre.anja@gmail.com,ME RATSIMANOHATRA ANJA,(+261) 34 08 389 96,https://www.facebook.com/mada.juridika    
LEGAL & FISCAL OFFICES, VILLAGE DES JEUX ANKORONDRANO ANTANANARIVO    ,sigmaco@moov.mg,SIGMA CONSULTING,(+261) 20 22 050 32,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", CAP 3000 ANTANANARIVO   ,madalarme-tana@moov.mg,MAD'ALARME,(+261) 202 33 20 08 (+261) 202 33 20 07,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", TANJOMBATO ANTANANARIVO   ,dintecno@moov.mg,MISSION 24 H,(+261) 202 24 60 25 (+261) 202 24 60 32,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT"," IMMEUBLE UCTS AMBARANJANA, 2E ETAGE ANTANANARIVO    ",info@noveo.tech,NOVEO MADAGASCAR,(+261) 33 27 000 01,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", ANTANINANDRO ANTANANARIVO   ,proalarm@blueline.mg,PROALARM,(+261) 202 45 52 74 (+261) 202 42 67 61,www.noveo.tech    
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", BESARETY ANTANANARIVO   ,,RS BUSINESS ELECTRONIC,(+261) 202 23 90 51 (+261) 202 22 55 59,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", LOT IIP 104 AMBATOFOTSIKELY ANTANANARIVO 101    ,direction.safe@orange.mg,SAFE,(+261) 32 05 499 88,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", BP. 8019 ANTANANARIVO   ,sas@moov.mg,SAS ALARME TANA,(+261) 202 22 39 24 (+261) 202 22 58 93,http://heaventec-mada.webs.com    
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", BP. 12141 ANTANANARIVO   ,infos@securex.com,SECUREX,(+261) 202 42 64 23 (+261) 202 26 55 35,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT", SOANIERANA ANTANANARIVO   ,seem@moov.mg,SEEM,(+261) 202 25 44 23 (+261) 202 25 68 17,
"ALARMS & MONITORING, MATERIAL & EQUIPMENT"," VILLA ANDY, LOGT 243/244 CITE CANADA TOAMASINA   ",techtaff@gmail.com,TECHTAFF SECURITE,(+261) 20 53 300 06,
TRANSIT & CONSIGNMENT, BP. 411 TOAMASINA   ,scac@moov.mg,SCAC,(+261) 205 33 15 83 (+261) 205 33 29 10,
TRANSIT & CONSIGNMENT," 2, RUE LABORDE MAHAJANGA   ",speed.scat@moov.mg,SCAT SPEED,(+261) 206 22 46 24 (+261) 206 22 44 12,
TRANSIT & CONSIGNMENT, AVE PHILLBERT ANTSIRANANA   ,,SCHIP CHANDLER,(+261) 208 22 26 43 (+261) 208 22 33 45,
TRANSIT & CONSIGNMENT, AMPAHIBE ANTANANARIVO   ,scttinf@iris.mg,SCTT M,(+261) 202 22 25 49 (+261) 202 26 46 32,
TRANSIT & CONSIGNMENT, BP. 514 ANTANANARIVO    ,shipping.tana@sdv.mg,SDV MADAGASCAR,(+261) 202 24 69 18 (+261) 202 24 66 98,www.bollore-africa-logistics.com    
TRANSIT & CONSIGNMENT, BP. 384 ANTSIRANANA    ,sdvdiego@sdv.mg,SDV MADAGASCAR,(+261) 208 22 13 27 (+261) 208 22 15 49,
TRANSIT & CONSIGNMENT, BP. 256 MAHAJANGA    ,sdvmajunga@sdv.mg,SDV MADAGASCAR,(+261) 206 22 20 08 (+261) 206 22 93 80,www.bollore-africa-logistics.com    
TRANSIT & CONSIGNMENT, BP. 411 TOAMASINA    ,commercial.tana@mg.dti.bolore.com,SDV MADAGASCAR,(+261) 205 33 20 48 (+261) 205 33 10 18,
TRANSIT & CONSIGNMENT, RTE AMBOSITRA ANTANANARIVO   ,,SETV,(+261) 204 44 94 57,www.bollore-africa-logistics.com    
TRANSIT & CONSIGNMENT, ANDRAVOAHANGY ANTANANARIVO   ,smtntnr@moov.mg,SMTN,(+261) 202 26 39 25 (+261) 202 22 99 56,
AIR TRANSPORTS, BLD BAZEILLE ANTSIRANANA   ,rotrimex@yahoo.fr,ROTRIMEX,(+261) 208 22 28 75 (+261) 208 22 28 75,
AIR TRANSPORTS, BP. 514 ANTANANARIVO    ,shipping.tana@sdv.mg,SDV MADAGASCAR,(+261) 202 24 69 18 (+261) 202 24 66 98,
AIR TRANSPORTS, BP. 384 ANTSIRANANA    ,sdvdiego@sdv.mg,SDV MADAGASCAR,(+261) 208 22 13 27 (+261) 208 22 15 49,www.bollore-africa-logistics.com    
AIR TRANSPORTS, BP. 256 MAHAJANGA    ,sdvmajunga@sdv.mg,SDV MADAGASCAR,(+261) 206 22 20 08 (+261) 206 22 93 80,
AIR TRANSPORTS, BP. 411 TOAMASINA    ,commercial.tana@mg.dti.bolore.com,SDV MADAGASCAR,(+261) 205 33 20 48 (+261) 205 33 10 18,www.bollore-africa-logistics.com    
AIR TRANSPORTS, ANKORONDRANO ANTANANARIVO   ,sotam@moov.mg,SOTAM,(+261) 202 25 58 51 (+261) 202 25 58 50,
AIR TRANSPORTS," 17, RUE COMMERCE TOAMASINA   ",evasil@moov.mg,SOTAM,(+261) 205 33 42 97 (+261) 205 33 30 03,www.bollore-africa-logistics.com    
AIR TRANSPORTS," 8, RUE DE LA POUDRIERE TAMATAVE    ",pdg@tass-ajsmm.mg,TRANSIT AIR SEA SERVICE,(+261) 34 56 709 70,
AIR TRANSPORTS, TSIADANA ANTANANARIVO   ,transni@simicro.mg,TRANSNI,(+261) 202 26 65 09 (+261) 202 26 65 10,www.bollore-africa-logistics.com    
AIR TRANSPORTS," 29, QUAI ORSINI MAHAJANGA   ",transni_mjn@simicro.mg,TRANSNI,(+261) 206 22 44 54 (+261) 206 22 44 51,
RESTAURANTS & BARS, IVANDRY ANTANANARIVO   ,marina.tana@mel.moov.mg,RESTAURANT LA MARINA,(+261) 202 24 37 11,
RESTAURANTS & BARS, BP. 1557 ANTANANARIVO    ,murchine@moov.mg,RESTAURANT LA MURAILLE DE CHINE,(+261) 202 22 30 13 (+261) 202 26 28 82,
RESTAURANTS & BARS," 158BIS, BETONGOLO ANTANANARIVO   ",,RESTAURANT LA PLAGE,(+261) 202 25 96 47,www.takelaka.dts.mg/murchine    
RESTAURANTS & BARS, BP. 194 ANTSIRANANA   ,sglveni@moov.mg,RESTAURANT LA RASCASSE,(+261) 208 22 29 25 (+261) 208 22 29 25,
RESTAURANTS & BARS, ANTSAHAVOLA ANTANANARIVO   ,,RESTAURANT LA RAVANE,(+261) 202 26 12 42,
RESTAURANTS & BARS, BP. 265 ANTANANARIVO    ,hotel_residen@freenet.mg,RESTAURANT LA RESIDENCE,(+261) 202 24 17 36 (+261) 202 24 02 74,www.antananarivo-hotel.com    
RESTAURANTS & BARS," 47, RUE COLBERT ANTSIRANANA   ",larosticceria@moov.mg,RESTAURANT LA ROSTICCERIA,(+261) 208 22 36 22,
RESTAURANTS & BARS, BESARETY ANTANANARIVO   ,,RESTAURANT LA ROTONDE,(+261) 202 22 22 66 (+261) 202 22 92 71,
LAWYERS, LOT III J 82 M ANDAVAMAMBA TANANARIVE   ,soloavocat@gmail.com,ANDRIAMAROMANANA SOLONIAINA,(+261) 34 63 885 35,
LAWYERS," 14, AVE DE FRANCE ANTANANARIVO   ",,ANDRIANONY ANDRIAMBAZAH,(+261) 206 22 21 04 (+261) 206 22 21 04,
LAWYERS," 1ER ETAGE, LOT II N 25 ROUTE CIRCULAIRE ANTANANARIVO   ",maitre.anja@gmail.com,ANJA RATSIMANOHATRA,(+261) 34 08 389 96,
LAWYERS, LOTII W 24 ANTSAKAVIRO ANTANANARIVO   ,dominiquerazanakolona@gmail.com,DOMINIQUE RAZANAKOLONA,(+261) 34 53 563 54,
INTERNATIONAL CONSULTANTS, IVATO AEROPORT ANTANANARIVO    ,kintaniarivo102@gmail.com,KINTAN'IARIVO,(+261) 34 97 963 50,
LAWYERS, BP. 1392 FIANARANTSOA   ,ravahia@moov.mg,JEAN RAKOTOARISON & ASSOCIES,(+261) 20 75 910 44,
LAWYERS, PATRICE LUMUMBA ST ANTANANARIVO    ,contact@jurisconsult.mg,JURISCONSULT MADAGASCAR LAW FIRM,(+261) 32 28 739 85,www.jurisconsult.mg    
LAWYERS, 4 RUE HENRY RAZANATSEHENO ANDOHANANALAKELY ANTANANARIVO   ,tenasefo@yahoo.fr,MANORO,(+261) 32 02 380 50,
LAWYERS, AMBANIDIA ANTANANARIVO   ,solohery@moov.mg,RABENARIVO SOLOHERY,(+261) 202 22 54 33 (+261) 202 22 54 33,
LAWYERS," 34, AVE ANDRIANAMPOINIMERINA ANTANANARIVO   ",cabrai@moov.mg,RAKOTOARIVONY HARY,(+261) 202 23 33 60 (+261) 202 26 23 82,
HOTELS, BP. 69 TOLIARY    ,c.alain@moov.mg,HOTEL CHEZ ALAIN,(+261) 209 44 15 27 (+261) 209 44 23 79,
HOTELS, BP. 73 NOSY KELY MORONDAVA    ,info@chezmaggie.com,HOTEL CHEZ MAGGIE,(+261) 209 55 23 47,www.chezalain.net    
HOTELS, BP. 309 MAHAJANGA    ,contact@coco-lodge.com,HOTEL COCO LODGE,(+261) 206 22 30 23 (+261) 206 22 26 92,
HOTELS, BP. 341 ANTANANARIVO    ,resa.colbert@moov.mg,HOTEL COLBERT,(+261) 20 22 202 02 (+261) 20 22 342 12,www.chezmaggie.com    
HOTELS, BP. 501 NOSY BE    ,corailnoir@netclub.mg,HOTEL CORAIL NOIR,(+261) 208 69 20 52 (+261) 208 69 20 54,
HOTELS, BP. 1228 FINARANTSOA    ,cotso@malagasy.com,HOTEL COTSOYANNIS,(+261) 207 55 14 72 (+261) 207 55 14 86,www.coco-lodge.com    
HOTELS, LOT IVD 48 TSIAZOTAFO ANTANANARIVO    ,contact@hotelcristalmadagascar.com,HOTEL CRISTAL MADAGASCAR,(+261) 20 22 670 58,
HOTELS, ANKIFY AMBANJA    ,dauphinbleu@moov.mg,HOTEL DAUPHIN BLEU,(+261) 208 60 61 33,www.colbert-hotel.com    
HOTELS, BP. 45 MAHAJANGA   ,h.france@moov.mg,HOTEL DE FRANCE,(+261) 206 22 37 81 (+261) 206 22 23 26,
HOTELS, BP. 607 ANTANANARIVO   ,hdf_tana@moov.mg,HOTEL DE FRANCE SICEH,(+261) 20 22 213 04 (+261) 20 22 201 08,www.corailnoirhotel.com    
ROAD TRANSPORT, ANTANIMENA ANTANANARIVO   ,r_trm@ymail.com,RAZAFIMAMONJY GERVAIS,(+261) 33 11 133 28,
ROAD TRANSPORT, ANDOHARANOFOTSY ANTANANARIVO   ,,RAZANSON LOUIS,(+261) 202 24 63 72,
ROAD TRANSPORT," LOT BL, BELAMBANANA ANTANANARIVO    ",rcm.tana@gmail.com,RCM,(+261) 032 11 630 02,www.facebook.com/ryancapmada    
ROAD TRANSPORT, RTE VELODROME ANTANANARIVO   ,,SADROUDINE RICHADE,(+261) 204 44 90 99,
ROAD TRANSPORT, BP. 648 ANTANANARIVO   ,salonetransport@moov.mg,SALONE TRANSPORTS,(+261) 202 24 77 44 (+261) 202 24 66 08,
ROAD TRANSPORT, AMBOHIMANARINA ANTANANARIVO   ,,SCOTAT,(+261) 202 23 39 91,www.bollore-africa-logistics.com    
ROAD TRANSPORT, BP. 514 ANTANANARIVO    ,shipping.tana@sdv.mg,SDV MADAGASCAR,(+261) 202 24 69 18 (+261) 202 24 66 98,
ROAD TRANSPORT, BP. 384 ANTSIRANANA    ,sdvdiego@sdv.mg,SDV MADAGASCAR,(+261) 208 22 13 27 (+261) 208 22 15 49,www.bollore-africa-logistics.com    
ROAD TRANSPORT, BP. 256 MAHAJANGA    ,sdvmajunga@sdv.mg,SDV MADAGASCAR,(+261) 206 22 20 08 (+261) 206 22 93 80,
ROAD TRANSPORT, BP. 411 TOAMASINA    ,commercial.tana@mg.dti.bolore.com,SDV MADAGASCAR,(+261) 205 33 20 48 (+261) 205 33 10 18,www.bollore-africa-logistics.com    
"REAL ESTATE, PROMOTERS", ITAOSY ANTANANARIVO   ,,NADIV PROMOTION,(+261) 202 45 56 74,
"REAL ESTATE, PROMOTERS"," 22, AVE ANALAKELY ANTANANARIVO    ",communication@packimmo.mg,PACKIMMO,(+261) 320 42 28 82,www.packimmo.mg    
"REAL ESTATE, PROMOTERS", LOT 235 CITE AMBOHIPO ANTANANARIVO    ,netpro@moov.mg,PROAS,(+261) 34 31 896 48,
"REAL ESTATE, PROMOTERS", BP. 297 NOSY BE   ,sabledor.nosybe@yahoo.fr,SABLE D'OR,(+261) 320 49 32 32,www.proasservice.com    
"REAL ESTATE, PROMOTERS", BP. 957 ANTANANARIVO   ,samba@simicro.mg,SAMBA IMMOBILIER,(+261) 202 25 25 82 (+261) 202 25 25 84,
"REAL ESTATE, PROMOTERS", AMBODIVONA ANTANANARIVO   ,,SCIMADA,(+261) 202 23 56 83 (+261) 202 22 87 60,
"REAL ESTATE, PROMOTERS", BP. 661 ANTANANARIVO    ,seimad@moov.mg,SEIMAD,(+261) 202 22 02 98 (+261) 202 22 17 21,
"REAL ESTATE, PROMOTERS", MAHAJANGA   ,sicp@moov.mg,SICP,(+261) 206 22 35 74 (+261) 206 22 28 53,www.seimad.mg    
"REAL ESTATE, PROMOTERS", BP. 872 ANTANANARIVO   ,sidmak@moov.mg,SIDM,(+261) 202 22 46 30 (+261) 202 23 50 09,
"REAL ESTATE, PROMOTERS", ... ANTANANARIVO    ,projet@softimmo-madagascar.com,SOFT IMMO,(+261) 34 02 770 00,
TOURIST AGENCIES, BP. 8019 ANTANANARIVO    ,tropic@tropic-tours.net,TROPIC TOURS TRAVEL,(+261) 202 25 80 74 (+261) 202 24 45 62,
TOURIST AGENCIES, BP. 157 ANTANANARIVO   ,tropicar@moov.mg,TROPICAR MADAGASCAR,(+261) 202 26 26 99 (+261) 202 22 08 03,www.tropic-tours.net    
TOURIST AGENCIES, ANTSAKAVIRO ANTANANARIVO    ,trs@moov.mg,TSE,(+261) 202 23 53 24 (+261) 202 23 52 54,
TOURIST AGENCIES, LOT PRES II Y 26 AMPASANIMALO AVARATRA ANTANIMORA ANTANANARIVO    ,contact@tsiky-tour.com,TSIKY TOUR,(+261) 20 22 468 51,
TOURIST AGENCIES, BP. 270 ANTSIRANANA    ,valiha@moov.mg,VALIHA AGENCE DE VOYAGE,(+261) 208 22 36 44 (+261) 208 22 93 55,www.transsoa-madagascar.com    
TOURIST AGENCIES, BP. 237 ANTANANARIVO    ,visitmadatours@gmail.com,VISIT MADA TOURS,(+261) 331 13 19 24,
TOURIST AGENCIES, AMBATOROKA ANTANANARIVO   ,iletours@moov.mg,VISTEMIALY MADAGASCAR,(+261) 202 23 26 87 (+261) 202 22 44 18,http://tsiky-tour.com    
TOURIST AGENCIES, AMBOHIBAO ANTANANARIVO   ,vm2k@iris.mg,VM2K VOYAGES,(+261) 202 24 55 19 (+261) 202 24 53 90,
TOURIST AGENCIES, ANTANINARENINA ANTANANARIVO    ,dbramilison@wildmadagascar.com,WILD MADAGASCAR,(+261) 202 33 00 03,www.diego-suarez.com/valiha.htm    
TOURIST AGENCIES, AMBOHIJATOVO ANTANANARIVO    ,zatour@iris.mg,ZA TOURS,(+261) 202 26 75 88 (+261) 202 24 22 86,
INTERNATIONAL BUSINESS LAW," 88, RUE RAINANDRIAMAMPANDRY AMBONDRONA ANTANANARIVO   ",cabinet.radson@gmail.com,CABINET RADSON & RADSON,(+261) 34 41 073 14,
INTERNATIONAL BUSINESS LAW, 13. RUE RATSIMILAHO ANTANINARENINA ANTANANARIVO   ,orajerison@yahoo.fr,CABINET RAJERISON,(+261) 34 11 425 11,
"REAL ESTATE, AGENCIES", TANA WATER FRONT ANTANANARIVO    ,guy-hoquet@simicro.mg,GUY HOQUET,(+261) 202 23 45 89 (+261) 202 23 80 67,
"REAL ESTATE, AGENCIES", V 24 ALASORA ANTANANARIVO    ,immohossanah@gmail.com,IMMO HOSSANAH,(+261) 33 91 834 98 (+261) 34 08 509 64,www.guyhoquet-madagascar.com    
"REAL ESTATE, AGENCIES", VILLAGE DES JEUX ANKORONDRANO ANTANANARIVO   ,immobilier@moov.mg,IMMOBI,(+261) 34 14 409 97,
"REAL ESTATE, AGENCIES"," 11, RUE RADAMA 1ER 101 ANTANANARIVO    ",immo.conseil@moov.mg,IMMOBILIER CONSEIL,(+261) 202 23 20 75 (+261) 202 23 49 11,www.group.hossanah.com    
"REAL ESTATE, AGENCIES", BP. 55 601 TULEAR    ,ait@moov.mg,IMMOBILIER TULEAR,(+261) 209 44 27 81 (+261) 209 44 27 81,
"REAL ESTATE, AGENCIES"," 10. RUE DOCTEUR VILLETTE, ISORAKA ANTANANARIVO    ",m_mefy@innova-immo.com,INNOVA IMMOBILIER,(+261) 20 22 273 82,
"REAL ESTATE, AGENCIES", AMBONDRONA ANTANANARIVO    ,mada@job-immobilier.com,JOB IMMOBILIER,(+261) 202 42 05 50,www.immobilier-madagascar.com    
"REAL ESTATE, AGENCIES"," 19, RUE ANDRIAMAROMANANA ANTANANARIVO   ",,MADA IMMOBILIER,(+261) 202 23 66 19,
"REAL ESTATE, AGENCIES", BESARETY ANTANANARIVO   ,ravelomi@yahoo.fr,MADAGASCAR IMMOBILIER,(+261) 202 23 09 54 (+261) 202 23 09 54,www.immobilier-tulear.com    
"REAL ESTATE, AGENCIES", BP. 1087 MAHAJANGA    ,fheri@moov.mg,MADERI IMMO,(+261) 206 22 47 31,
"EXPERTISES ACCOUNTANTS, AUDITS & ADVICE", LOT IA5 AMPATSAKANA ANTANANARIVO   ,adconseils.mada@gmail.com,AD CONSEILS,(+261) 33 07 530 60,
"EXPERTISES ACCOUNTANTS, AUDITS & ADVICE", IMMEUBLE LES JARDINS DE MAHAMASINA ANTANANARIVO   ,aa-cga@moov.mg,AUDITEURS ASSOCIES,(+261) 20 22 686 38 (+261) 34 02 629 49,
"EXPERTISES ACCOUNTANTS, AUDITS & ADVICE"," IMMEUBLE NY HAVANA, VILLAGE DES JEUX, ANKORONDRANO ANTANANARIVO   ",e.rasoamparany@moov.mg,CABINET XL ENT SOLUTIONS,(+261) 33 12 002 92,
CONSULTANTS, ANKADIVATO ANTANANARIVO   ,afpb@blueline.mg,APB CONSULTING,(+261) 202 25 61 32 (+261) 202 25 61 32,
CONSULTANTS," 13, RUE VITTORI ANTANANARIVO   ",,BUSINESS SERVICES,(+261) 202 22 83 90 (+261) 202 22 83 90,
CONSULTANTS, LOT III F 91 MAHAMASINA SUD ANTANANARIVO 101    ,acranmada@yahoo.fr,CABINET ACRAN,(+261) 320 23 58 60 (+261) 202 22 58 89,www.cabinetacran.fr.gd    
CONSULTANTS, MANAKAMBAHINY ANTANANARIVO   ,,CABINET DE CONSEILS D'ENTREPRISES,(+261) 202 26 10 84 (+261) 202 26 10 86,
CONSULTANTS, BP. 147 ANTANANARIVO   ,,CMA CONSEIL,(+261) 202 24 43 56 (+261) 202 24 43 56,www.fthm.mg    
CONSULTANTS, BP. 7631 ANTANANARIVO    ,fthm@moov.mg,FTHM CONSEILS,(+261) 202 26 31 86 (+261) 202 23 37 20,
CONSULTANTS, ANTSAHAVOLA ANTANANARIVO   ,gamaconsult@moov.mg,GAMA CONSULT,(+261) 202 26 45 53 (+261) 202 26 46 23,
CONSULTANTS, BP. 8197 ANTANANARIVO    ,glw@glw-conseil.com,GLW CONSEIL,(+261) 202 26 32 21 (+261) 202 26 32 19,www.glw-conseil.com    
CONSULTANTS, AMPEFILOHA ANTANANARIVO    ,guide@moov.mg,GUIDE,(+261) 202 26 81 21,
CONSULTANTS, LOT BA 193 TER ANGODONA AMPITATAFIKA ATSIMONDRANO   ,ietbat@gmail.com,IET BAT,(+261) 33 71 267 26,www.guide.gov.mg    
PROJECTS & OFFICES OF SUPPORT, BP. 1326 FINARANTSOA   ,seecfia@moov.mg,PROJET SEECALINE,(+261) 207 55 19 42 (+261) 207 55 19 99,
PROJECTS & OFFICES OF SUPPORT, BP. 751 MAHAJANGA   ,seecalinemjn@moov.mg,PROJET SEECALINE,(+261) 206 22 42 89 (+261) 206 22 42 90,
PROJECTS & OFFICES OF SUPPORT, BP. 185 TOAMASINA   ,seectmv@moov.mg,PROJET SEECALINE,(+261) 205 33 14 69 (+261) 205 33 02 06,
PROJECTS & OFFICES OF SUPPORT, BP. 199 TOLIARA   ,seecu@moov.mg,PROJET SEECALINE,(+261) 209 44 11 36 (+261) 209 44 17 24,
PROJECTS & OFFICES OF SUPPORT, BP. 1281 ANTANANARIVO   ,psd.tnr@moov.mg,PROJET SOUTIEN DEVELOP. RURAL,(+261) 202 26 88 65 (+261) 202 26 88 64,
GUARDING & SECURITY, LOT 35 B AMBOAVAHY AMBOHIMANARINA ANTANANARIVE   ,ostnet1@yahoo.fr,ORGANISATION DE NETTOYAGE,(+261) 20 22 489 95,
GUARDING & SECURITY, LOT III M 33TER OUEST AMBOHIJANAHARY ANTANANARIVO   ,mampianinaforma@gmail.com,PROTECTION INTERVENTION FORCES,(+261) 033 49 875 28,
GUARDING & SECURITY, BP. 1 ANTANANARIVO   ,rgs@moov.mg,RG SECURITE,(+261) 202 25 98 89 (+261) 202 24 00 52,
GUARDING & SECURITY, ANDROHIBE ANTANANARIVO    ,responsablecom2@gmail.com,S TEAM,(+261) 20 24 519 64,
GUARDING & SECURITY, BP. 12052 ANTANANARIVO    ,safetech@safetech.mg,SAFETECH,(+261) 202 25 37 74 (+261) 202 25 37 61,www.steam.mg    
GUARDING & SECURITY, ... MORAMANGA 514   ,sagsureteservice@gmail.com,SAG SECURITY,(+261) 34 20 010 40,
GUARDING & SECURITY, BP. 8019 ANTANANARIVO   ,sas@moov.mg,SAS ALARME TANA,(+261) 202 22 39 24 (+261) 202 22 58 93,www.safetech.mg    
GUARDING & SECURITY, LOT IVL 176 P ANOSIVAVAKA ANTANANARIVO 101   ,infos@securexmg.com,SECUREX,(+261) 20 24 264 23,
GUARDING & SECURITY, TANAMBAO II FORT DAUPHIN   ,segat@moov.mg,SERVICES & GARDIENNAGE DE TOLAGNARO,(+261) 34 60 137 92,
GUARDING & SECURITY, TANAMBAO II FORT DAUPHIN   ,societesraf@yahoo.com,SRAF,(+261) 034 60 137 78,
MARITIME TRANSPORT," 55, RUE RAZAFINDRANOVONA ANTANANARIVO   ",,SOCAMAD,(+261) 202 25 46 07,
MARITIME TRANSPORT, ANDRANOTAPAHINA ANTANANARIVO   ,,SOCIETE LA LIGNE OCEAN INDIEN,(+261) 202 25 84 39,
